claim,label
The unicorn is the national animal of Scotland.,False
Studies prove that wearing jeans causes infertility.,False
Saturn's atmosphere is mostly hydrogen and helium.,True
Analysis finds that listening to classical music causes hearing loss.,False
Drinking eight glasses of water a day is necessary for everyone to stay healthy.,False
Analysis finds that wireless headphones emit harmful radiation.,False
Research indicates that talking to plants makes them die.,False
Standing does use more energy than sitting.,True
Experts warn that wearing jeans causes infertility.,False
Leafcutter ants farm fungus for food.,True
Studies prove that eating bananas daily causes allergies.,False
Spinning your head around in circles 100 times will make you levitate.,False
Studies prove that typing on glass keyboards leads to carpal tunnel.,False
An octopus has three hearts.,True
Wearing socks to bed does not improve your sleep quality.,True
Experts warn that wireless headphones emit harmful radiation.,False
Scientists claim that walking backwards burns more calories.,False
Eating fish oil supplements does not always improve memory and cognition.,False
Studies prove that eating carrots causes diabetes.,False
Recharging a smartphone with a microwave will destroy it.,True
Research indicates that electric cars increase air pollution.,False
Analysis finds that sleeping on the floor improves memory.,False
The Baltic Sea is saltier than the Atlantic Ocean.,False
Mercury is visible to the naked eye from Earth.,True
Conversations on the moon are audible to naked ears on Earth.,False
Scientists claim that sleeping on the floor improves memory.,False
Experts warn that electric cars increase air pollution.,False
Photosynthesis in plants produces oxygen as a byproduct.,True
Mercury is the hottest planet in our solar system.,False
Scientists claim that typing on glass keyboards leads to carpal tunnel.,False
A group of jellyfish is called a smack.,True
Atmospheric pressure decreases as altitude increases.,True
Experts warn that eating spicy food causes weight gain.,False
Research indicates that eating bananas daily causes allergies.,False
The Pyramids of Giza were built to bury Egyptian pharaohs.,True
Experts warn that sleeping on the floor improves memory.,False
A group of crows is called a murder.,True
"For birds, torpor can reduce metabolic rate substantially.",True
NASA did not lie about the Apollo moon landings.,True
Studies prove that holding your breath for 5 minutes increases IQ.,False
Gold is a metal with the symbol Au.,True
Analysis finds that consuming artificial sweeteners causes liver disease.,False
Deleting a file from the recycle bin makes it impossible to recover.,False
The chemical element Helium was first discovered on the Sun.,True
The Earth has one moon called Luna.,True
Eggs can be safely stored at room temperature for weeks.,False
Electric cars produce more environmental damage due to battery production.,False
Penguins are birds that can fly.,False
A leap day occurs every 4 years.,True
Scientists claim that eating bananas daily causes allergies.,False
The Earth orbits the Sun once every year.,True
Spaceships orbiting Earth see 16 sunrises and sunsets in one day.,True
Sound travels faster in water than in air.,True
Analysis finds that eating spicy food causes weight gain.,False
Studies prove that using fluorescent lights at night causes insomnia.,False
"Alaska has the westernmost, northernmost, and easternmost points in the United States.",True
Mercury is the closest planet to the Sun.,True
"Chemistry is the study of mind, brain, and behavior.",False
Yawning is contagious among humans.,True
"Goldfish grow to the size of their tank, not remain small.",True
The telephone was patented by Alexander Graham Bell.,True
The entire country of the Netherlands is below sea level.,False
Magnetic fields can cause compasses to point away from north.,True
Touching a frog will give you warts.,False
Our sun will eventually become a red giant star.,True
Swallowed gum stays in the stomach for seven years.,False
All penguins live in the Southern Hemisphere.,True
Eating at night directly causes weight gain.,False
Spiders have eight legs.,True
Experts warn that eating bananas daily causes allergies.,False
The formula for water is H2O.,True
Snakes are reptiles and cannot blink because they do not have eyelids.,True
You can see Russia from parts of Alaska on a clear day.,True
Dark matter has never been directly detected by scientists.,True
"Goldfish do not actually have a three-second memory, they can recall information.",True
Research indicates that typing on glass keyboards leads to carpal tunnel.,False
Bananas grow underground like potatoes.,False
Analysis finds that holding your breath for 5 minutes increases IQ.,False
The moon orbits the Earth approximately every 27 days.,True
Owning a cat is linked to having multiple personalities.,False
Scientists claim that electric cars increase air pollution.,False
The core of the Earth is as hot as the surface of the Sun.,True
"The Sahara Desert is a temperate grassland, not a sandy desert.",False
Experts warn that using fluorescent lights at night causes insomnia.,False
Barcodes were used in stores before the microwave oven was invented.,True
Mercury is the only metal that is liquid at room temperature.,True
Gold is more expensive than diamonds per ounce.,False
Research indicates that drinking coffee stunts growth.,False
Goldfish memories last longer than a few seconds.,True
Wearing hats has no effect on hair loss.,True
People spend about one-third of their lives sleeping.,True
Plate tectonics causes earthquakes and mountains.,True
Venus has a longer day (rotation period) than year (orbital period).,True
Experts warn that walking backwards burns more calories.,False
Studies prove that listening to classical music causes hearing loss.,False
The invention of the printing press preceded electricity.,True
